	<bytes_page>	<traf_page>	bratio_il0	bratio_il1	bratio_il2	bratio_il3	bratio_il4	traf_il0	traf_il1	traf_il2	traf_il3	traf_il4
2008/10/15/12	7483	2	8.616063076	1.082453561	1.098089002	0.862621943	1.225310704	8	2	2	1	2
2008/10/15/20	19879	3	18.91986518	0.408119121	0.413149555	2.630615222	2.610342573	46	3	3	9	10
2008/10/15/21	6565	1	46.37958873	1.093526276	2.222086824	0.983244478	21.38324448	42	1	2	1	16
2008/10/16/03	13314	2	18.8431726	0.53920685	0.563842572	0.969656001	1.910319964	35	1	1	2	4
2008/10/16/17	14308	3	18.13957227	0.536622868	1.694157115	0.451146212	5.744828068	30	1	7	1	10
2008/10/17/02	6565	1	48.50479817	1.069306931	1.182330541	3.738613861	8.313937548	33	1	2	2	7
2008/10/17/10	6745	1	14.35018532	3.003261675	1.081541883	1.968272795	3.881393625	18	1	1	2	8
2008/10/17/21	19695	3	22.14866717	0.712871287	0.370449353	0.679258695	2.474739782	49	2	1	3	10
2008/10/18/01	6565	1	30.92749429	1.069459254	1.111348058	0.983244478	5.970144707	26	1	1	1	3
2008/10/18/21	21279	6	12.87156351	1.055547723	0.69636731	0.628694957	2.210724188	46	4	2	3	6
2008/10/19/00	19695	3	12.82244224	0.366336634	0.371871033	0.982990607	5.709977152	33	1	1	3	17
2008/10/19/04	20631	5	6.305559595	0.3499588	0.354999758	1.319567641	0.757403907	20	1	1	7	2
2008/10/19/05	13598	3	15.39116046	0.599647007	0.538608619	1.431534049	3.28585086	40	3	1	3	17
2008/10/19/21	20814	5	6.942010185	0.369318728	0.351878543	0.62919189	3.045306044	32	2	1	2	7
2008/10/20/07	14066	4	9.185909285	1.060002844	1.041518555	0.458908005	9.065903597	15	3	2	1	18
2008/10/20/09	6565	1	14.98065499	2.29322163	1.115765423	0.983244478	9.741355674	22	3	1	1	6
2008/10/20/16	20418	4	8.687432657	1.083896562	0.358752081	0.644039573	3.166862572	20	4	1	2	10
2008/10/20/17	13303	2	11.09862437	1.628429678	1.101255356	2.367285575	1.849357288	14	3	2	3	5
2008/10/20/23	14224	3	7.269263217	0.521794151	1.044924072	0.47405793	2.220613048	17	1	2	1	4
2008/10/21/02	13306	2	12.58184278	0.542687509	0.550503532	0.49038028	1.768074553	21	1	1	1	3
2008/10/21/04	13336	2	27.16211758	0.541466707	1.133623275	2.452534493	3.220905819	53	1	3	5	13
2008/10/21/05	24226	2	14.10744655	0.298068191	0.3023611	0.538677454	3.620903162	36	1	1	2	12
2008/10/22/21	13302	2	37.6253195	1.085175162	0.550744249	2.943241618	7.082017742	66	2	1	6	8
2008/10/22/22	13484	2	23.01742806	1.617027588	1.100192821	1.451943044	4.150919608	51	3	2	3	9
2008/10/23/14	33443	5	2.784947523	0.435846066	0.219089197	0.8379332	0.981102174	14	2	1	7	5
2008/10/23/16	32847	5	4.466465735	0.219746096	0.223064511	0.198678723	1.43264225	19	1	1	1	6
2008/10/23/19	19956	3	11.71246743	0.361745841	0.367157747	0.654038886	2.360593305	34	1	1	2	4
2008/10/23/20	26788	4	10.14988054	1.402269673	0.865611468	1.249216067	1.87882634	44	7	5	6	12
2008/10/23/21	6652	1	49.32050511	2.170475045	1.101473241	1.962116657	7.517739026	43	2	1	2	12
2008/10/23/23	6652	1	39.44016837	5.496241732	1.129434756	1.030366807	11.98752255	33	6	1	2	10
2008/10/24/00	18622	1	19.22715068	1.492482011	1.566749007	0.375577274	7.649500591	41	2	2	2	12
2008/10/24/01	7588	3	35.61030575	2.977200843	1.931207169	1.35345282	5.475751186	72	5	2	9	10
2008/10/24/02	20139	3	8.383087542	0.358458712	0.736878693	0.995382094	1.953870599	22	1	2	4	5
2008/10/24/04	19956	3	11.91035278	1.391912207	1.101473241	0.654038886	2.451894167	40	2	3	2	10
2008/10/24/12	6652	1	21.39957907	1.10748647	3.284576067	0.981058328	2.379434756	23	1	1	1	2
2008/10/24/13	6835	1	14.03408925	1.077834674	1.099195318	2.918800293	1.168251646	14	1	1	3	1
2008/10/24/16	13304	2	20.28705652	1.084410704	1.101473241	0.490529164	4.246467228	41	2	2	1	10
2008/10/24/21	6649	1	46.03609565	2.166040006	2.201534065	2.944502933	11.7813205	35	2	2	3	10
2008/10/25/01	13485	2	22.89358547	1.080756396	1.100333704	1.037300704	5.946829811	53	2	2	4	9
2008/10/25/03	7570	2	17.46235139	2.71651255	0.966974901	0.86010568	5.179656539	22	1	1	1	5
2008/10/25/04	6650	1	32.78225564	1.083759398	1.101503759	3.078947368	8.605864662	36	1	1	4	12
2008/10/25/06	13767	3	14.38621341	0.52349822	0.532069441	1.848696157	2.848115058	27	1	1	4	5
2008/10/25/15	13789	3	4.825875698	0.556530568	0.531220538	0.4732758	1.215896729	11	2	1	1	4
2008/10/26/21	6662	1	30.62984089	2.227709397	2.20384269	1.993695587	6.243620534	30	2	2	2	10
2008/10/26/22	6662	1	20.9495647	1.100570399	1.10267187	1.987090964	4.854398079	18	1	1	2	6
2008/10/27/03	6657	1	26.16899504	1.101547244	1.103650293	4.901607331	2.49932402	19	1	1	5	4
2008/10/27/18	6662	1	49.81822276	1.172020414	1.102821975	2.93875713	7.090963675	35	1	1	3	6
2008/10/27/20	20166	3	19.01829813	0.735644154	1.101209957	0.99404939	2.017703065	33	2	3	4	7
2008/10/27/21	46063	5	6.099971778	0.163232964	0.478496841	0.715368083	1.198901504	34	1	3	5	7
2008/10/27/22	13324	2	15.58323326	0.564094866	0.551410988	0.489792855	2.367006905	37	1	1	1	4
2008/10/28/03	468	1	493.3547009	31.28205128	31.4017094	32.88888889	120.4294872	48	2	2	7	10
2008/10/28/04	7130	2	38.10631136	2.053295933	2.126788219	1.830575035	11.51009818	41	2	3	2	15
2008/10/28/09	6662	1	17.23011108	1.098769138	1.10297208	0.97958571	5.3461423	23	1	1	1	13
2008/10/28/18	13324	2	18.23986791	1.098769138	1.701966376	0.97958571	1.816421495	35	2	4	2	4
2008/10/28/21	20166	3	19.85946643	1.124417336	0.372409005	1.261033423	3.180749777	51	4	1	2	10
2008/10/28/23	13507	2	26.46020582	0.594432516	0.544014215	1.946842378	5.888650329	33	2	1	4	9
2008/10/29/04	6662	1	25.93980787	1.098919243	3.329180426	0.986940859	8.29495647	23	1	3	1	5
2008/10/29/11	6842	1	7.914790997	1.098947676	1.073224203	0.987722888	5.781788951	6	1	1	1	3
2008/10/29/14	6662	1	31.2958571	1.098919243	1.10297208	2.001801261	3.625487841	22	1	1	2	4
2008/10/29/16	39265	4	8.566458678	0.753393608	0.778861582	0.507092831	1.234712849	39	3	3	3	6
2008/10/29/18	20347	3	13.78502973	1.483658525	0.738487246	0.992382169	1.563178847	31	5	2	4	4
2008/10/29/20	6662	1	58.69873912	1.128189733	1.102221555	1.973881717	11.01921345	37	1	1	2	7
2008/10/29/22	20346	3	25.01130443	0.36955667	0.730413841	1.611520692	4.831858842	39	1	2	3	9
2008/10/30/15	39074	4	6.798766443	0.745431745	0.77143369	0.508982955	1.390054768	35	2	2	3	5
2008/10/30/16	13504	2	23.25459123	3.305316943	2.233116114	1.460530213	12.10507998	39	5	2	3	13
2008/10/31/01	20634	4	20.4515363	1.456576524	0.728457885	1.274789183	3.208054667	58	4	2	4	15
2008/10/31/02	6662	1	36.66301411	2.255478835	1.128940258	1.973431402	7.128339838	35	2	1	2	7
2008/10/31/04	6662	1	30.58480937	2.325577905	2.257880516	0.987090964	5.848093666	26	3	2	1	6
2008/10/31/07	25575	2	16.89274682	0.8457087	1.472883675	1.01259042	4.202072336	25	1	3	2	8
2008/10/31/17	6842	1	17.56577024	2.195118386	1.09807074	0.988307512	3.686787489	14	2	1	1	6
2008/10/01/01	20009	5	10.66869909	360.6757459	0.520515768	7.886551052	0.316857414	8	192	2	4	1
2008/10/03/03	12563	2	13.89270079	533.5771711	3.453156093	9.177186978	0.50473613	9	141	1	17	1
2008/10/04/05	19034	3	5.390564253	279.0163392	0.548334559	2.313964485	0.333140696	5	112	1	2	1
2008/10/04/06	6750	2	9.205925926	773.3802963	0.13837037	6.594222222	0.939407407	4	182	2	3	1
2008/10/06/03	18846	3	10.61148254	528.2623368	0.553326966	26.54329831	1.682319856	3	290	1	16	5
2008/10/09/18	19049	3	11.20505013	332.8656097	2.27696992	1.331933435	1.023203318	8	149	1	8	4
2008/10/10/16	6293	1	16.54806928	1229.801367	1.686953758	17.64833942	1.007627523	6	168	1	5	1
2008/10/10/23	13615	4	15.67748806	437.215718	3.186632391	8.183327213	1.396841719	7	144	1	7	3
2008/10/12/22	18874	3	14.30057222	365.5935149	0.553035922	10.88799407	0.336017802	17	199	1	9	1
2008/10/13/18	49297	6	5.770432278	155.1526056	0.211737023	4.616812382	0.132360996	9	208	1	12	1
2008/10/14/02	59223	4	2.214426827	131.9020313	0.176265978	5.382858011	0.123668169	3	249	1	10	2
2008/10/14/12	42817	5	7.58390359	142.6654366	0.243805031	4.847420417	0.4205339	9	128	1	3	1
2008/10/14/14	36697	4	1.121208818	157.8780009	0.56892934	4.961032237	0.191814045	2	128	2	16	2
2008/10/16/14	12935	2	13.34101276	628.8339389	0.807112486	19.2955547	0.526555856	6	147	1	9	2
2008/10/16/15	25701	4	16.39344773	277.4227851	1.68853352	13.31971519	0.708143652	7	194	1	11	1
2008/10/21/04	19617	4	6.304633736	371.2711424	2.211041444	14.0374675	0.323291023	6	195	1	7	1
2008/10/23/10	41979	3	2.631792087	59.29914957	1.033111794	9.393530098	0.152457181	2	68	1	5	1
2008/10/23/19	25618	4	5.632484972	330.7993989	0.406940433	6.960769771	1.004645171	7	201	1	8	4
2008/10/25/07	25615	4	5.686199492	266.970447	0.407612727	1.803435487	0.247589303	8	234	1	6	1
2008/10/25/15	32513	6	4.68892443	154.9236613	0.014363485	9.832343985	0.195060437	4	122	1	20	1
2008/10/25/19	32512	6	5.326494833	228.196389	0.321450541	8.23871186	0.390132874	5	189	1	14	2
2008/10/26/14	12853	2	15.16828756	279.2374543	0.036411733	17.48541197	0.493425659	9	99	1	13	1
2008/10/28/22	25747	4	6.848059968	378.2293471	0.406027887	7.782693129	0.24631996	12	219	1	9	1
2008/10/29/12	30934	3	6.339367686	128.0187496	0.338268572	1.44003362	0.211029935	8	92	1	2	1
2008/10/30/01	13280	3	16.21957831	410.4518825	0.801204819	5.092695783	0.477560241	7	172	1	4	1
2008/10/30/08	6406	1	41.41742117	1187.62582	6.897752107	7.135497971	0.990009366	8	95	1	4	1
2008/10/22/21	22692	2	0.728230213	0.948572184	4.229640402	1.275295258	0.957033316	1	1	5	2	1
2008/10/23/11	16447	1	1.004803308	1.308810117	1.05849091	1.293123366	1.321031191	1	1	1	1	1
2008/10/25/08	16925	1	1.005553914	1.301211226	8.804017725	1.268124077	1.294416544	1	1	9	1	1
2008/10/26/22	6269	1	1.006061573	1.25777636	27.94975275	2.482214069	1.21566438	1	1	11	2	1
2008/10/30/00	17200	1	1.994534884	1.295988372	5.377848837	2.17377907	1.739476744	2	1	14	3	2
